lei_number,url,Legal Name,Language Code,Other Entity Names,Legal Address (English),Headquarters Address (English),Legal Jurisdiction Country,Legal Jurisdiction Region,Registration Authority,Registration Authority ID,Registration Authority Entity ID,Entity Legal Form Code,Entity Category,Entity Status,Entity Creation Date
254900V7NEE9M236MZ98,https://lei.bloomberg.com/leis/view/254900V7NEE9M236MZ98,THE BANK OF MARION,en,,"c/o Chris Snodgrass
102 W Main St
Marion, Virginia (US-VA), 24354-2514
UNITED STATES","PO Box 1067
Marion, Virginia (US-VA), 24354-1067
UNITED STATES",UNITED STATES (US),Virginia (US-VA),,(US-VA): State Corporation Commission (RA000639),2640092,Stock Corporation (HOV4),GENERAL,ACTIVE,"1984-11-30 00:00:00
Website
WWW.BANKOFMARIONVA.COM"
549300V5MRNYGHSGR060,https://lei.bloomberg.com/leis/view/549300V5MRNYGHSGR060,OKLAHOMA'S CREDIT UNION,en,"Other Entity Name 1
Name
OKLAHOMA EMPLOYEES CREDIT UNION
Type
PREVIOUS_LEGAL_NAME","3001 N Lincoln Blvd
Oklahoma City, Oklahoma (US-OK), 73105
UNITED STATES","3001 North Lincoln Boulevard
Oklahoma City, Oklahoma (US-OK), 73105
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),65032,Federal Savings Association (380O),GENERAL,ACTIVE,1954-01-01 00:00:00
254900FYMABY3EPG2K50,https://lei.bloomberg.com/leis/view/254900FYMABY3EPG2K50,Bank of Milton,en,,"323 Parkview Dr
Milton, Wisconsin (US-WI), 53563
UNITED STATES","323 Parkview Dr
Milton, Wisconsin (US-WI), 53563
UNITED STATES",UNITED STATES (US),Wisconsin (US-WI),,Federal Deposit Insurance Corporation (RA000744),11232,Commercial Bank (JNYX),GENERAL,ACTIVE,"1884-03-24 23:59:50
Website
www.bankofmilton.com"
54930020NKD4V7LL4W50,https://lei.bloomberg.com/leis/view/54930020NKD4V7LL4W50,EVOLVE,en,"Other Entity Name 1
Name
EL PASO EMPLOYEES FEDERAL CREDIT UNION
Type
PREVIOUS_LEGAL_NAME","8820 Gazelle Dr
El Paso, Texas (US-TX), 79925
UNITED STATES","8840 Gazelle Drive
El Paso, Texas (US-TX), 79925
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),1792,Credit Union (14OD),GENERAL,ACTIVE,"1936-01-01 00:00:00
Website
https://www.evolvefcu.org/"
549300GPM8XFBE00Z637,https://lei.bloomberg.com/leis/view/549300GPM8XFBE00Z637,Bank of Central Florida,en,,"5015 S Florida Ave
Lakeland, Florida (US-FL), 33813
UNITED STATES","5015 S Florida Ave
Lakeland, Florida (US-FL), 33813
UNITED STATES",UNITED STATES (US),Florida (US-FL),,Federal Deposit Insurance Corporation (RA000744),58479,Commercial Bank (3LXM),GENERAL,ACTIVE,"2007-03-19 00:00:00
Website
www.bankofcentralflorida.com"
562V2SM4I80MJO5HYB83,https://lei.bloomberg.com/leis/view/562V2SM4I80MJO5HYB83,Bank Rhode Island,en,,"1 Turks Head Pl
Providence, Rhode Island (US-RI), 02903
UNITED STATES","131 Clarendon Street
Boston, Massachusetts (US-MA), 02116
UNITED STATES",UNITED STATES (US),Rhode Island (US-RI),,Federal Deposit Insurance Corporation (RA000744),34147,Savings Bank (4NMI),GENERAL,ACTIVE,1996-03-22 00:00:00
6GK3WNTSHBNJOVP1LV97,https://lei.bloomberg.com/leis/view/6GK3WNTSHBNJOVP1LV97,ENT Credit Union,en,,"11550 Ent Pkwy
Colorado Springs, Colorado (US-CO), 80921-4274
UNITED STATES","11550 Ent Parkway
Colorado Springs, Colorado (US-CO), 80921-4274
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),68671,Credit Union (14OD),GENERAL,ACTIVE,"1957-03-07 00:00:00
Website
www.ent.com"
25490008Z6OW7HHL6478,https://lei.bloomberg.com/leis/view/25490008Z6OW7HHL6478,Democracy Federal Credit Union,en,,"400 N Columbus St
Alexandria, Virginia (US-VA), 22314
UNITED STATES","400 N Columbus St
Alexandria, Virginia (US-VA), 22314
UNITED STATES",UNITED STATES (US),Virginia (US-VA),,National Credit Union Administration (RA000745),1407,"Other (8888)
Other Legal Form
Democracy Federal Credit Union",GENERAL,"ACTIVE
Website
https://democracyfcu.org",
549300460HWJVMVBAC39,https://lei.bloomberg.com/leis/view/549300460HWJVMVBAC39,METRUM COMMUNITY,en,,"6980 S Holly Cir
Centennial, Colorado (US-CO), 80112-1018
UNITED STATES","6980 S Holly Cir
Centennial, Colorado (US-CO), 80112
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),62422,Credit Union (14OD),GENERAL,ACTIVE,"1946-01-01 00:00:00
Website
www.metrumcu.org"
5493009OLY1HC3F0SB77,https://lei.bloomberg.com/leis/view/5493009OLY1HC3F0SB77,"WILLIAM RAVEIS MORTGAGE, LLC",en,,"C/O CORPORATION SERVICE COMPANY
251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES","251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",3884702,Limited Liability Company (HZEH),GENERAL,ACTIVE,2004-11-19 00:00:00
2549009PZCHF8GGHET49,https://lei.bloomberg.com/leis/view/2549009PZCHF8GGHET49,Santa Barbara Teachers Federal Credit Union,en,,"3970 La Colina Rd
Santa Barbara, California (US-CA), 93110-1563
UNITED STATES","3970 La Colina Rd Ste 12
Santa Barbara, California (US-CA), 93110-1563
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),1909,Credit Union (14OD),GENERAL,ACTIVE,"1937-01-01 00:00:00
Website
www.sbtfcu.org"
549300J2D35S72FE4K21,https://lei.bloomberg.com/leis/view/549300J2D35S72FE4K21,"Service One Credit Union, Inc.",en,"Other Entity Name 1
Name
SERVICE ONE
Type
PREVIOUS_LEGAL_NAME","1609 Campbell Ln
Bowling Green, Kentucky (US-KY), 42104
UNITED STATES","1609 Campbell Lane
Bowling Green, Kentucky (US-KY), 42104
UNITED STATES",UNITED STATES (US),Kentucky (US-KY),,National Credit Union Administration (RA000745),62484,Corporation (non-profit) (DAVB),GENERAL,ACTIVE,1963-01-01 00:00:00
5493001HBUA9JSUEWO16,https://lei.bloomberg.com/leis/view/5493001HBUA9JSUEWO16,First Community Bank,en,"Other Entity Name 1
Name
First Community Bank, National Association
Type
PREVIOUS_LEGAL_NAME","5455 Sunset Blvd
Lexington, South Carolina (US-SC), 29072
UNITED STATES","5455 Sunset Blvd
Lexington, South Carolina (US-SC), 29072
UNITED STATES",UNITED STATES (US),South Carolina (US-SC),,Federal Deposit Insurance Corporation (RA000744),34047,Commercial Bank (D2EI),GENERAL,ACTIVE,"1995-08-17 00:00:00
Website
firstcommunitysc.com"
549300QWUZ3ZGKKC7W73,https://lei.bloomberg.com/leis/view/549300QWUZ3ZGKKC7W73,Merchants and Manufacturers Bank,en,,"601 E Cass St
Joliet, Illinois (US-IL), 60432
UNITED STATES","601 E Cass St
Joliet, Illinois (US-IL), 60432
UNITED STATES",UNITED STATES (US),Illinois (US-IL),,Federal Deposit Insurance Corporation (RA000744),20040,"Other (8888)
Other Legal Form
BANK",GENERAL,INACTIVE,"1969-09-24 12:00:00
Successor Entity
Successor LEI
549300O7SGM8FH65GQ47
Legal Entity Events
Legal Entity Event 1
Event Type
MERGERS_AND_ACQUISITIONS
Effective Date
2024-06-24 00:00:00
Recorded Date
2025-05-06 20:34:06
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
254900SBY94JVYQ1Y131,https://lei.bloomberg.com/leis/view/254900SBY94JVYQ1Y131,Iron Workers Savings Bank,en,"Other Entity Name 1
Name
Iron Workers Bank
Type
TRADING_OR_OPERATING_NAME","3333 Concord Road
Aston, Pennsylvania (US-PA), 19014
UNITED STATES","3333 Concord Road
Aston, Pennsylvania (US-PA), 19014
UNITED STATES",UNITED STATES (US),Pennsylvania (US-PA),,(US-PA): Pennsylvania Department of State (RA000632),174562,"Other (8888)
Other Legal Form
Bank",GENERAL,ACTIVE,1752-12-31 23:59:32
549300HIQFQDTNNY6967,https://lei.bloomberg.com/leis/view/549300HIQFQDTNNY6967,LISBON COMMUNITY,en,"Other Entity Name 1
Name
Lisbon Community Federal Credit Union
Type
PREVIOUS_LEGAL_NAME","325 Lisbon St
Lisbon, Maine (US-ME), 04250-6865
UNITED STATES","PO Box 878
325 Lisbon Street
Lisbon, Maine (US-ME), 04250
UNITED STATES",UNITED STATES (US),Maine (US-ME),,National Credit Union Administration (RA000745),13190,"Other (8888)
Other Legal Form
MUNICIPAL",GENERAL,ACTIVE,
254900VFRQR5ZLXRQ298,https://lei.bloomberg.com/leis/view/254900VFRQR5ZLXRQ298,Ocean Financial Federal Credit Union,en,"Other Entity Name 1
Name
OCEANSIDE CHRISTOPHER FEDERAL CREDIT UNION
Type
PREVIOUS_LEGAL_NAME","45 Atlantic Ave
Oceanside, New York (US-NY), 11572-2035
UNITED STATES","45 Atlantic Ave
Oceanside, New York (US-NY), 11572-2035
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),19269,Credit Union (14OD),GENERAL,ACTIVE,"1969-02-25 00:00:00
Website
www.oceanfinancial.org"
549300TYKYOVQFBZBV90,https://lei.bloomberg.com/leis/view/549300TYKYOVQFBZBV90,"UNIVERSITY OF VIRGINIA COMMUNITY CREDIT UNION, INC.",en,"Other Entity Name 1
Name
UNIVERSITY OF VIRGINIA COMMUNITY CREDIT UNION,INC.
Type
PREVIOUS_LEGAL_NAME","C/O Brian S. Johnson
20 Garrett St Ste 304
Charlottesville, Virginia (US-VA), 22902
UNITED STATES","3300 Berkmar Drive
Charlottesville, Virginia (US-VA), 22901
UNITED STATES",UNITED STATES (US),Virginia (US-VA),,(US-VA): State Corporation Commission (RA000639),690479,Nonstock Corporation (PLMC),GENERAL,ACTIVE,1954-04-22 00:00:00
2549000BVJ73CTA1IZ30,https://lei.bloomberg.com/leis/view/2549000BVJ73CTA1IZ30,Century Savings Bank,en,,"1376 W Sherman Ave
Vineland, New Jersey (US-NJ), 08360
UNITED STATES","1376 W Sherman Ave
Vineland, New Jersey (US-NJ), 08360
UNITED STATES",UNITED STATES (US),New Jersey (US-NJ),,Federal Deposit Insurance Corporation (RA000744),30428,Savings Bank (VWC5),GENERAL,ACTIVE,"1864-12-31 23:59:40
Website
www.centurysb.com"
549300BGIT0LFI12Z304,https://lei.bloomberg.com/leis/view/549300BGIT0LFI12Z304,"Security Bank, s.b.",en,,"510 E Monroe St
Springfield, Illinois (US-IL), 62701
UNITED STATES","510 E Monroe St
Springfield, Illinois (US-IL), 62701
UNITED STATES",UNITED STATES (US),Illinois (US-IL),,Federal Deposit Insurance Corporation (RA000744),27723,Commercial Bank (QY7A),GENERAL,ACTIVE,1906-01-01 00:00:00
54930089UXPZ6O3RHG71,https://lei.bloomberg.com/leis/view/54930089UXPZ6O3RHG71,Ameriserv Financial Bank,en,"Other Entity Name 1
Name
U.S. Bank
Type
PREVIOUS_LEGAL_NAME","216 Franklin Street
Johnstown, Pennsylvania (US-PA), 15901
UNITED STATES","216 Franklin Street
Johnstown, Pennsylvania (US-PA), 15901
UNITED STATES",UNITED STATES (US),Pennsylvania (US-PA),,Federal Deposit Insurance Corporation (RA000744),7542,Commercial Bank (R9OY),GENERAL,ACTIVE,"1933-09-23 00:00:00
Website
https://www.ameriserv.com/"
549300LDX1HCIL448282,https://lei.bloomberg.com/leis/view/549300LDX1HCIL448282,BOM Bank,en,"Other Entity Name 1
Name
Bank of Montgomery
Type
PREVIOUS_LEGAL_NAME","814 Washington St
Natchitoches, Louisiana (US-LA), 71457
UNITED STATES","814 Washington Street
Natchitoches, Louisiana (US-LA), 71457
UNITED STATES",UNITED STATES (US),Louisiana (US-LA),,Federal Deposit Insurance Corporation (RA000744),1373,Commercial Bank (TZDZ),GENERAL,ACTIVE,1903-10-04 23:59:50
549300N1LBROQFJ7YJ64,https://lei.bloomberg.com/leis/view/549300N1LBROQFJ7YJ64,FORT SILL,en,,"1614 NW 67th St
Lawton, Oklahoma (US-OK), 73505-2725
UNITED STATES","PO Box 1527
Lawton, Oklahoma (US-OK), 73502
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),10832,Credit Union (14OD),GENERAL,ACTIVE,1956-01-01 00:00:00
2549000UEC0BWG8F1402,https://lei.bloomberg.com/leis/view/2549000UEC0BWG8F1402,First Financial Federal Credit Union,en,,"391 Route 9 North
Freehold, New Jersey (US-NJ), 07728
UNITED STATES","391 Route 9 North
Freehold, New Jersey (US-NJ), 07728
UNITED STATES",UNITED STATES (US),New Jersey (US-NJ),,National Credit Union Administration (RA000745),1021,"Other (8888)
Other Legal Form
Non Profit Organization",GENERAL,"ACTIVE
Website
https://www.firstffcu.com/",
254900N33AYNKI4VCV72,https://lei.bloomberg.com/leis/view/254900N33AYNKI4VCV72,Gulf Winds Credit Union,en,,"220 EAST NINE MILE ROAD
PENSACOLA, Florida (US-FL), 32534
UNITED STATES","220 EAST NINE MILE ROAD
PENSACOLA, Florida (US-FL), 32534
UNITED STATES",UNITED STATES (US),,,Federal Financial Institutions Examination Council (RA000748),613697,Credit Union (14OD),GENERAL,ACTIVE,"1954-01-01 00:00:00
Website
gogulfwinds.com"
549300SGEJUQK4Q7ZY34,https://lei.bloomberg.com/leis/view/549300SGEJUQK4Q7ZY34,FirstLight Federal Credit Union,en,,"9983 Kenworthy Street
El Paso, Texas (US-TX), 79924
UNITED STATES","9983 Kenworthy Street
El Paso, Texas (US-TX), 79924
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),10174,Credit Union (14OD),GENERAL,ACTIVE,1955-01-01 00:00:00
549300ZLEJNF277L8Q40,https://lei.bloomberg.com/leis/view/549300ZLEJNF277L8Q40,Access Community Credit Union,en,,"6401 Bell St
Amarillo, Texas (US-TX), 79109
UNITED STATES","6401 Bell Street
Amarillo, Texas (US-TX), 79109
UNITED STATES",UNITED STATES (US),Texas (US-TX),,National Credit Union Administration (RA000745),67178,"Other (8888)
Other Legal Form
CREDIT_UNION",GENERAL,ACTIVE,
549300LDC5KWHWDXTW48,https://lei.bloomberg.com/leis/view/549300LDC5KWHWDXTW48,USF Federal Credit Union,en,,"13101 Telecom Park Drive
Suite 100
Temple Terrace, Florida (US-FL), 33637
UNITED STATES","13101 Telecom Park Drive
Suite 100
Temple Terrace, Florida (US-FL), 33637
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),24223,Credit Union (14OD),GENERAL,ACTIVE,1985-12-05 00:00:00
549300EMNQ2QLOEPQ289,https://lei.bloomberg.com/leis/view/549300EMNQ2QLOEPQ289,"Colonial Savings, F.A.",en,"Other Entity Name 1
Name
Colonial Savings and Loan Association
Type
PREVIOUS_LEGAL_NAME","2626c West Fwy
Fort Worth, Texas (US-TX), 76102
UNITED STATES","2626c West Fwy
Fort Worth, Texas (US-TX), 76102
UNITED STATES",UNITED STATES (US),Texas (US-TX),,Federal Deposit Insurance Corporation (RA000744),31361,Savings Bank (TCLA),GENERAL,ACTIVE,1962-01-01 00:00:00
254900ZUMZZ6CZKH7X17,https://lei.bloomberg.com/leis/view/254900ZUMZZ6CZKH7X17,WEPCO Federal Credit Union,en,,"204 North Branch Avenue
Bloomington, Maryland (US-MD), 21523
UNITED STATES","204 North Branch Avenue
Bloomington, Maryland (US-MD), 21523
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),6685,Federal Savings Association (380O),GENERAL,ACTIVE,"1950-01-01 00:00:00
Website
www.wepcofcu.com"
5493000SHD1NU031PX30,https://lei.bloomberg.com/leis/view/5493000SHD1NU031PX30,"The Tipton Latham Bank, National Association",en,,"800 Us Highway 50 W
Tipton, Missouri (US-MO), 65081
UNITED STATES","800 Us Highway 50 W
Tipton, Missouri (US-MO), 65081
UNITED STATES",UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),1941,National Bank (62VJ),GENERAL,ACTIVE,"1906-12-29 00:00:00
Website
www.tiptonlathambank.com"
2549005LG69OCBT9WE71,https://lei.bloomberg.com/leis/view/2549005LG69OCBT9WE71,The Riddell National Bank,en,,"1 E National Ave
Brazil, Indiana (US-IN), 47834
UNITED STATES","1 E National Ave
Brazil, Indiana (US-IN), 47834
UNITED STATES",UNITED STATES (US),Indiana (US-IN),,Federal Deposit Insurance Corporation (RA000744),4318,Commercial Bank (P91Q),GENERAL,ACTIVE,"1885-06-15 00:00:00
Website
www.riddellonline.com"
254900JH5HOQQ4CDPC30,https://lei.bloomberg.com/leis/view/254900JH5HOQQ4CDPC30,The First National Bank of McConnelsville,en,,"86 N Kennebec Ave
PO Box 208
McConnelsville, Ohio (US-OH), 43756
UNITED STATES","86 N Kennebec Ave
McConnelsville, Ohio (US-OH), 43756
UNITED STATES",UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),6637,National Bank (62VJ),GENERAL,ACTIVE,"1863-06-30 23:59:40
Website
www.first-national.com"
549300BI43WZOK3XF350,https://lei.bloomberg.com/leis/view/549300BI43WZOK3XF350,Bank of Franklin County,en,,"900 E 8th St
Washington, Missouri (US-MO), 63090
UNITED STATES","900 E 8th St
Washington, Missouri (US-MO), 63090
UNITED STATES",UNITED STATES (US),Missouri (US-MO),,Federal Deposit Insurance Corporation (RA000744),35543,Commercial Bank (J1JO),GENERAL,ACTIVE,2000-08-28 00:00:00
549300USNPUCH96WTF23,https://lei.bloomberg.com/leis/view/549300USNPUCH96WTF23,Bank Midwest,en,"Other Entity Name 1
Name
Bank Midwest, Minnesota Iowa, National Association
Type
PREVIOUS_LEGAL_NAME","1800 Royal Ave
Spirit Lake, Iowa (US-IA), 51360
UNITED STATES","1102 Sanborn Ave
Okoboji, Iowa (US-IA), 51355
UNITED STATES",UNITED STATES (US),Iowa (US-IA),,Federal Deposit Insurance Corporation (RA000744),5170,Commercial Bank (VWY9),GENERAL,ACTIVE,"1886-12-31 23:59:50
Website
https://www.bankmidwest.com/
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_LEGAL_ADDRESS
Effective Date
2025-01-31 00:00:00
Recorded Date
2025-04-09 20:51:25
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED
Legal Entity Event 2
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2025-01-31 00:00:00
Recorded Date
2025-04-09 20:51:25
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300S93XI20FLTGK89,https://lei.bloomberg.com/leis/view/549300S93XI20FLTGK89,"Aurora Financial, LLC",en,"Other Entity Name 1
Name
Aurora Mortgage LLC
Type
PREVIOUS_LEGAL_NAME","C/O INCORP SERVICES, INC.
7288 HANOVER GREEN DRIVE
MECHANICSVILLE, Virginia (US-VA), 23111
UNITED STATES","2010 Corporate Ridge Road
Suite 420
FAIRFAX COUNTY
McLean, Virginia (US-VA), 22102
UNITED STATES",UNITED STATES (US),Virginia (US-VA),,(US-VA): State Corporation Commission (RA000639),S1018185,Limited Liability Company (4WN7),GENERAL,ACTIVE,2003-07-28 00:00:00
549300JPG4IUQOVV5C90,https://lei.bloomberg.com/leis/view/549300JPG4IUQOVV5C90,"Middlesex Federal Savings, F.A.",en,,"1 College Ave
Somerville, Massachusetts (US-MA), 02144
UNITED STATES","1 College Avenue
Somerville, Massachusetts (US-MA), 02144
UNITED STATES",UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),28368,Federal Savings Association (380O),GENERAL,ACTIVE,1889-12-31 23:59:50
549300JODTD5ROHSII79,https://lei.bloomberg.com/leis/view/549300JODTD5ROHSII79,Pointbank,en,,"200 South Highway 377
Pilot Point, Texas (US-TX), 76258
UNITED STATES","200 South Highway 377
PO Box 278
Pilot Point, Texas (US-TX), 76258
UNITED STATES",UNITED STATES (US),Texas (US-TX),,Federal Deposit Insurance Corporation (RA000744),3389,Commercial Bank (HTV5),GENERAL,ACTIVE,"1892-07-12 23:59:50
Website
www.pointbank.com"
5493001Q0ZTLEV17B098,https://lei.bloomberg.com/leis/view/5493001Q0ZTLEV17B098,Bank of Wiggins,"en
Legal Address
109 Pine Avenue West
Wiggins, Mississippi (US-MS), 39577
UNITED STATES
Headquarters Address
109 Pine Avenue West
Wiggins, Mississippi (US-MS), 39577
UNITED STATES",,,,UNITED STATES (US),Mississippi (US-MS),,"(US-MS): Business Services, Office of the Secretary of State (RA000619)",401455,Business Corporation (XST3),GENERAL,ACTIVE,1916-06-10 22:00:00
549300FKX3KC0CFK2D88,https://lei.bloomberg.com/leis/view/549300FKX3KC0CFK2D88,"Community West Bank, National Association","en
Legal Address
5827 Hollister Avenue
Goleta, California (US-CA), 93117
UNITED STATES
Headquarters Address
5827 Hollister Avenue
Goleta, California (US-CA), 93117
UNITED STATES",,,,UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),27572,National Bank (62VJ),GENERAL,INACTIVE,"1989-08-21 00:00:00
Successor Entity
Successor Entity Name
Community West Bank
Legal Entity Events
Legal Entity Event 1
Event Type
ABSORPTION
Effective Date
2024-04-01 00:00:00
Recorded Date
2024-04-25 10:37:14
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
5493008HZMBEJQEY0J72,https://lei.bloomberg.com/leis/view/5493008HZMBEJQEY0J72,First Federal Savings and Loan Bank,en,"Other Entity Name 1
Name
First Federal Savings and Loan Association of Olathe
Type
PREVIOUS_LEGAL_NAME","700 E Santa Fe St
Olathe, Kansas (US-KS), 66061
UNITED STATES","700 E Santa Fe St
Olathe, Kansas (US-KS), 66061
UNITED STATES",UNITED STATES (US),Kansas (US-KS),,Federal Deposit Insurance Corporation (RA000744),28635,Savings Bank (VBVM),GENERAL,ACTIVE,1923-01-01 00:00:00
549300SKHHL7A2K8YV94,https://lei.bloomberg.com/leis/view/549300SKHHL7A2K8YV94,"MERIWEST MORTGAGE COMPANY, LLC",en,,"C/O MARTINA VALENTINE
5615 CHESBRO AVENUE
SUITE 110
SAN JOSE, California (US-CA), 95123
UNITED STATES","5615 Chesbro Avenue
Suite 110
San Jose, California (US-CA), 95123
UNITED STATES",UNITED STATES (US),California (US-CA),,(US-CA): Secretary of State (RA000598),200203610053,Limited Liability Company (EI4J),GENERAL,ACTIVE,2002-01-29 00:00:00
549300S8CJG5MSY8BH57,https://lei.bloomberg.com/leis/view/549300S8CJG5MSY8BH57,BANK OF LITTLE ROCK MORTGAGE CORPORATION,en,,"15909 CANTRELL ROAD
LITTLE ROCK, Arkansas (US-AR), 72223
UNITED STATES","15909 CANTRELL ROAD
LITTLE ROCK, Arkansas (US-AR), 72223
UNITED STATES",UNITED STATES (US),Arkansas (US-AR),,(US-AR): Business & Commercial Services (RA000596),100161125,For-Profit Corporation (EJX1),GENERAL,ACTIVE,1998-07-15 05:00:00
549300Y7HCU10KIRLG30,https://lei.bloomberg.com/leis/view/549300Y7HCU10KIRLG30,Peoples Bank,en,"Other Entity Name 1
Name
Peoples Bank SB
Type
PREVIOUS_LEGAL_NAME","9204 Columbia Avenue
Munster, Indiana (US-IN), 46321
UNITED STATES","9204 Columbia Avenue
Munster, Indiana (US-IN), 46321
UNITED STATES",UNITED STATES (US),Indiana (US-IN),,Federal Deposit Insurance Corporation (RA000744),29523,Commercial Bank (P91Q),GENERAL,ACTIVE,1916-01-01 00:00:00
549300UKYJZO6CZXIX60,https://lei.bloomberg.com/leis/view/549300UKYJZO6CZXIX60,"UNITED HOME LOANS, INC.",en,,"C/O SFBBG AGENTS LLC
300 S WACKER DR
STE 1500
CHICAGO, Illinois (US-IL), 60606-6762
UNITED STATES","1023 Burlington Ave
Western, Illinois (US-IL), 60558
UNITED STATES",UNITED STATES (US),Illinois (US-IL),,(US-IL): Business Services (Office of the Secretary of State) (RA000608),62028602,Business Corporation (AZUK),GENERAL,ACTIVE,"2002-01-31 00:00:00
Website
uhloans.com
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2025-03-04 00:00:00
Recorded Date
2025-03-04 18:42:56
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
254900OPB6J0NM26JY33,https://lei.bloomberg.com/leis/view/254900OPB6J0NM26JY33,Oconee State Bank,en,,"C/O James R McLemore
41 N. Main Street
Watkinsville, Georgia (US-GA), 30677
UNITED STATES","41 North Main Street
Watkinsville, Georgia (US-GA), 30677
UNITED STATES",UNITED STATES (US),Georgia (US-GA),,(US-GA): Georgia Secretary of State Corporations Division (RA000604),J716252,Savings Bank (H5G0),GENERAL,ACTIVE,"1959-06-05 00:00:00
Website
oconeestatebank.com"
254900VUE5T1INQKZ414,https://lei.bloomberg.com/leis/view/254900VUE5T1INQKZ414,COASTLINE FEDERAL CREDIT UNION,en,"Other Entity Name 1
Name
SEABOARD SYS FCU
Type
PREVIOUS_LEGAL_NAME","4651 Emerson Street
Jacksonville, Florida (US-FL), 32207
UNITED STATES","4651 Emerson Street
Jacksonville, Florida (US-FL), 32207
UNITED STATES",UNITED STATES (US),,,Federal Financial Institutions Examination Council (RA000748),637778,"Other (8888)
Other Legal Form
Federal Credit Union",GENERAL,ACTIVE,"1936-01-01 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_LEGAL_NAME
Effective Date
1986-10-01 00:00:00
Recorded Date
2023-08-16 00:00:00
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED
Legal Entity Event 2
Event Type
CHANGE_LEGAL_NAME
Effective Date
1983-01-01 00:00:00
Recorded Date
2023-08-16 00:00:00
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300DNP4W96HB6LV07,https://lei.bloomberg.com/leis/view/549300DNP4W96HB6LV07,Sterling Bank,en,,"1100 Sterling Dr
Poplar Bluff, Missouri (US-MO), 63901
UNITED STATES","1100 Sterling Dr
Poplar Bluff, Missouri (US-MO), 63901
UNITED STATES",UNITED STATES (US),Missouri (US-MO),,Federal Deposit Insurance Corporation (RA000744),57813,Commercial Bank (J1JO),GENERAL,ACTIVE,"2004-10-19 12:00:00
Website
www.sterbank.bank"
549300IPUHFA5O769M51,https://lei.bloomberg.com/leis/view/549300IPUHFA5O769M51,"Vellum Mortgage, Inc.",en,"Other Entity Name 1
Name
Vellum Mortgage, LLC
Type
PREVIOUS_LEGAL_NAME","C/O Jason Curley
12700 Fair Lakes Circle
Suite 400
Fairfax, Virginia (US-VA), 22033
UNITED STATES","12700 Fair Lakes Circle
Suite 400
Fairfax, Virginia (US-VA), 22033
UNITED STATES",UNITED STATES (US),Virginia (US-VA),,(US-VA): State Corporation Commission (RA000639),8355364,Stock Corporation (HOV4),GENERAL,ACTIVE,"2018-09-15 00:00:00
Website
www.vellummortgage.com
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2019-09-15 00:00:00
Recorded Date
2023-10-24 15:05:25
Validation Documents
REGULATORY_FILING
Event Status
COMPLETED"
